"zip_code","cbsa_1",cbsa_1_ratio,"cbsa_2",cbsa_2_ratio,"cbsa_3",cbsa_3_ratio,"cbsa_4",cbsa_4_ratio
"01501","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01503","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01504","49340",0.99681526,"14460",0.00318471,NULL,NULL,NULL,NULL
"01505","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01506","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01507","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01508","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01509","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01510","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01515","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01516","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"01518","49340",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
