High School Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
070835 Total,57,0,0,6,23,18,1,3,23,0,30,0,0,0
070838 Total,89,0,0,2,4,80,1,12,8,0,68,0,1,1
070840 Total,69,0,2,10,17,34,3,1,23,0,39,0,0,0
070845 Total,33,0,0,6,4,19,0,1,7,2,18,0,5,2
070850 Total,31,2,0,0,0,27,0,15,1,0,16,0,0,0
070855 Total,99,0,1,1,35,39,3,3,21,3,76,0,1,0
070863 Total,146,1,4,16,52,66,10,11,53,1,76,0,5,1
070867 Total,82,1,0,4,18,42,1,2,27,0,54,0,0,0
070870 Total,32,0,1,2,10,9,0,1,14,0,16,0,0,0
070871 Total,104,0,0,2,3,90,1,2,2,0,101,0,0,0
070875 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
070877 Total,3,0,0,0,0,3,0,2,0,0,1,0,0,0
070879 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
070880 Total,58,0,1,2,6,48,1,6,9,0,39,0,3,2
070882 Total,119,1,0,4,4,104,2,5,3,0,109,0,1,1
070887 Total,207,0,3,5,21,176,2,34,16,1,153,0,1,1
070889 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
070890 Total,47,1,0,2,1,43,0,12,6,0,31,0,0,0
070896 Total,102,1,1,5,7,88,3,12,17,0,76,0,1,1
070900 Total,220,1,0,5,23,185,3,33,19,1,167,0,4,2
070907 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
070913 Total,78,0,1,2,4,64,3,8,5,0,66,0,1,2
070920 Total,201,2,7,4,11,165,5,24,11,2,170,0,2,3
070921 Total,2,0,0,0,0,1,0,1,0,1,1,0,0,0
070925 Total,179,0,0,1,26,137,4,12,12,1,146,0,4,2
070930 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
070938 Total,177,0,1,2,10,153,0,20,5,0,152,0,3,2
070945 Total,31,0,3,0,5,21,1,5,9,0,15,0,1,2
070949 Total,73,1,0,9,17,45,2,9,30,0,36,0,0,0
070950 Total,120,1,0,6,15,83,1,6,74,1,45,0,0,0
070955 Total,56,0,0,2,6,40,0,11,11,0,36,0,0,0
070958 Total,10,0,0,0,0,6,0,0,0,0,9,0,0,1
070960 Total,75,0,1,0,4,59,2,20,3,0,51,0,0,1
070962 Total,128,0,0,1,2,117,0,1,0,1,127,0,0,0
070970 Total,109,0,2,2,6,92,1,5,3,0,102,0,0,1
070975 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
100508 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
101297 Total,1,0,0,1,0,0,0,0,0,0,0,0,0,0
101374 Total,1,1,0,0,0,0,0,0,0,0,1,0,0,0
101388 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
101648 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
102201 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
102326 Total,1,0,0,0,1,0,0,0,0,0,0,0,0,0
110921 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
150470 Total,1,0,0,1,0,0,0,0,0,0,1,0,0,0
163055 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
200095 Total,79,0,0,0,0,76,2,1,0,0,75,0,0,2
200105 Total,77,0,0,0,1,70,1,5,3,0,67,0,0,5
200185 Total,91,0,3,1,4,79,1,7,0,0,79,0,0,3
200278 Total,75,0,1,0,1,72,1,3,1,0,69,0,0,1
200280 Total,118,0,1,0,3,111,0,1,2,0,111,0,0,3
200350 Total,147,0,0,0,2,133,4,2,1,0,134,0,1,8
200360 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
200385 Total,61,0,0,0,1,55,0,2,0,0,54,0,0,5
200387 Total,9,0,0,1,0,8,0,1,0,0,9,0,0,0
200400 Total,115,0,0,0,0,108,2,5,4,0,109,0,0,3
200405 Total,82,0,0,1,3,74,2,4,2,1,72,0,1,5
200408 Total,2,0,0,0,1,1,0,0,0,0,1,0,0,0
200440 Total,1,0,0,0,0,0,0,0,0,0,0,0,0,1
200515 Total,71,0,2,0,2,63,3,7,1,1,63,0,2,3
200517 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
200535 Total,29,0,0,0,1,27,0,3,1,1,26,0,0,0
200694 Total,5,0,0,0,0,4,0,0,0,0,5,0,0,1
